,Mu,Buy,Sell
0,5.360414292326249,0.7187932872420723,0.7510448128915926
1,3.6571938462135405,0.501582257628588,0.5183296780527312
2,2.9038701595635725,0.4163426441520007,0.4930229860045993
3,0.9103466401612106,0.24395645904206706,0.2565371426035827
4,1.999432177665821,0.30017504857399285,0.2520721828102873
5,3.449988895913288,0.6967450242431863,0.5215882364934624
6,6.3174384337558624,0.9546800553616982,0.9917811029618607
7,5.199969655452833,0.634384181424946,0.6351798277826803
8,1.5864965959893462,0.38160872717236727,0.4230959689387569
9,7.444273262898155,0.5347629816984477,0.5899478539280051
10,3.5541416729863666,0.49359319501328175,0.4891159520290499
11,5.767176253415524,0.6500716646662253,0.6582469861235561
12,10.114643978767972,2.2022247568851405,2.303470173568797
13,5.677457538288979,1.6591623699613283,1.8678420300965812
14,8.44556597286364,1.9098961987280876,1.7785824695710262
15,3.3318132970638947,1.0640463769497115,0.9900077793897288
16,1.8049083462242,0.7704971796917467,0.7995598543800821
17,8.248193543553269,1.2395133093066713,1.1623304163069708
18,7.478022670057097,1.1636085133595544,1.1017544128571155
19,4.396876842058822,1.1934707451303121,1.0275704300618016
20,4.741714511359734,0.9785903601404454,0.9117296835971189
21,5.046968038875265,0.8973230114483959,0.9322984409720284
22,4.841590410746062,0.6988894499380546,0.7253855162484137
23,3.587658104284069,0.6538645653723625,0.6978599689613127
24,3.821151221837328,0.4275241110489987,0.3853560289083287
25,5.997757220631062,0.38567618429321104,0.4067314914958849
26,4.803766441047048,0.4532610578085625,0.4542470786810473
27,2.9561111385375636,0.4848776116538413,0.5570947877009071
28,2.492011545155447,0.5191433979412372,0.5986761317940922
